P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P11554727A0890|73 76|PTH
P11532856A1175|75 78|HGF
P11123316T0000|73 76|Tec
P11054970A0282|76 79|NF1
P10490955T0000|75 105|mitogen-activated protein kinase
P08093616A1214|72 94|DNA polymerase alpha gene
P01539996A0588|71 92|Escherichia coli enzyme
P08621664A1430|75 96|neurofilament L protein
P02388685A0577|76 95|alkaline phosphatase
P01460054A0968|76 94|IFN-inducible genes
P08497248A0000|75 93|c-fms protooncogene
P09792439T0000|74 91|40S hnRNP complexes
P09371626A1345|73 90|RNA-binding domain
P10799595A1454|74 89|HPV-6 E1 promoter
P09305755A0540|75 89|nuclear factor 1
P11046153A1052|76 91|p300 coactivator
P11208814A0673|75 87|bHLH proteins
P10610716A1127|74 85|human AC gene
P09343222A0415|71 83|human protein
P01713213A0488|73 85|Pim-1 protein
P10801809T0000|75 87|PHO5 promoter
P01826003A0694|70 80|beta TG gene
P10444813A0448|74 86|somatostatin
P08149484A0151|74 83|PKC alpha K
P08683983A1163|74 83|c-myb gene
P07579164A0409|72 81|atp9 genes
P08816452A0936|74 83|SR protein
P11274184A1068|75 83|ho-1 gene
P10077533A0976|72 80|MUL genes
P06402859A0000|72 80|thrombin
P08521414A1384|73 81|p16INK4A
P11007777A0813|75 83|junctate
P07592946A0997|72 79|AP-1 box
P09545638T0000|78 85|HRMT1L1
P10567581A0119|77 84|Trident
P11469701A0377|76 83|insulin
P07476971A0381|76 81|Pit-1
P10602516A0182|75 80|M-NAP
P09652737A1244|77 82|Fra-1
P10805747A0633|75 80|Hsl1p
P07935418A0447|73 78|RLD-1
P07964458A0179|77 82|Nramp
P08223875A0711|75 79|CD45
P11160307A0394|75 79|eGFP
P10327051A0688|77 81|ATF2
P01373374A0735|74 78|GBF3
P10713083A0560|74 78|TraR
P02743981A0347|78 82|L10e
P08076631A0000|73 77|AP-1
P03199436A1060|77 81|petD
P09652736A1205|72 76|p300
P03915540A0863|76 80|lacZ
P11278610A0902|74 78|JAK2
P07678051A1303|71 75|PDGF
P11560992A0000|76 80|MKK4
P11559821A1315|75 79|p300
P11306463A0383|72 76|cdk4
P10903837A1208|70 74|VSX1
P09108279A0431|73 77|ogg1
P10819327T0000|76 80|KIFB
P11233643A0000|76 80|PPIX
P08760889A0531|74 78|H2As
P01646487A0874|73 76|IgA
P07509449A0000|74 77|crk
P09242506A1033|73 76|1-3
P08918464A0225|78 81|STK
P09880512A1251|74 77|Sp1
P07899581A0000|75 78|SOD
P09759865A0673|74 77|p50
P09712898A0911|74 77|GCK
P07559402A0622|74 77|PKC
P10545192T0000|78 81|p70
P08932363A0807|73 76|CBP
P10825200T0000|76 79|syk
P08561897A0604|76 79|Sp1
P08405433A0000|74 76|P3
P01863887A0174|76 112|tissue plasminogen activating substance
P02826127A0709|72 106|lymphoid cell-specific protein oct-B2
P08307338A0227|75 108|mitochondrially encoded cytochrome b
P09501169A0000|76 108|histone acetylases and deacetylases
P09115242A0934|76 110|CCAAT/enhancer-binding protein-beta
P10407184A0520|75 107|chloramphenicol acetyl transferase
P08188603A0230|73 104|Saccharomyces cerevisiae CPA2 gene
P07948129A0297|74 106|chloramphenicol acetyl transferase
P10373507A0680|76 108|SRF-dependent skeletal alpha-actin
P01649318A0734|74 102|herpes simplex virus TK promoter
P11156413T0000|75 101|polyomavirus middle T antigen
P08474438A0000|76 102|RNA polymerase II transcripts
P09753775A0734|72 96|Cdc2-like histone H1 kinase
P08626493A1468|72 97|retinoblastoma gene product
P07891713T0000|74 98|NF-E2 transcription factor
P08760286A0696|76 100|small GTP-binding proteins
P07592710T0000|78 101|immunoglobulin kappa gene
P07488247T0000|78 101|aryl hydrocarbon receptor
P09155015A0140|73 96|atrial natriuretic factor
P07588245T0000|80 102|thyroid hormone receptor
P08243476A1177|77 100|nitrous-oxide reductases
P08506384A0146|75 96|GDP-GTP exchange factor
P07896088A0720|74 95|RAP1 interacting factor
P08622645A1026|75 96|RXR-responsive element
P06797063A0000|77 95|ristocetin cofactor
P07563072A0773|75 92|rpoD(P504L) mutant
P10623758A0947|74 92|beta-galactosidase
P02241892A0681|77 93|sialophorin mRNAs
P09499061A0000|75 90|HIV-1) integrase
P01864837A1029|72 87|mouse contrapsin
P03577670A0236|75 89|arylsulfatase A
P10683072T0000|78 91|interleukin-2
P08816453A0000|73 84|Raf-1 kinase
P07880442A0236|75 85|S1 nuclease
P00970488A0105|75 85|DA receptor
P09371566A1384|73 82|SR protein
P10657238A0541|76 85|mStaf gene
P09925372A1063|73 81|HFHZ mRNA
P09426068A0826|76 85|TGF-alpha
P01309593A1092|73 81|UCR motif
P08552093A0657|77 84|alpha i2
P07729427A0942|75 83|hTAFII18
P09840943A0144|74 81|cyclin E
P02204625A1130|73 80|insulin
P10076007A0656|74 81|mRNP3+4
P09199413A0518|72 79|RB6-8C5
P11513579A0372|75 82|Rho-GDI
P08947028A0992|77 82|Bni1p
P11390395A1018|79 84|STAT3
P09858531A1017|78 83|c-jun
P03263465T0000|73 78|H-2Ld
P11160656A0000|78 83|MIERR
P07963540A0795|75 79|RelA
P10555285A1065|77 81|FUT5
P09882303A1984|72 76|LMP1
P10891399A1185|78 82|WAF1
P10467004A0683|73 77|IBS2
P09611234A0098|77 81|BCL6
P10647817T0000|74 78|PTA1
P08918934A0424|73 77|NTF2
P09575217A0971|75 79|Jak2
P07980669A0373|74 77|NPY
P09878542A1151|77 80|VDR
P10684111A1411|72 75|p44
P10490826T0000|76 79|t(1
P10529198A0068|75 78|ras
P00201881A0487|72 75|MSH
P11852907A0871|75 78|SRP
P01991521A0481|77 79|G4
P09328476A0068|76 78|U1
P09488486A0000|75 118|eukaryotic nuclear RNA polymerases, polymerases
P10751398A1135|76 115|Epstein-Barr virus latent membrane protein 1
P09170159A0348|77 116|tyrosinase and tyrosinase-related protein 1
P11094073A0000|73 105|Ros receptor protein tyrosine kinase
P02124710A1624|72 98|type alpha I collagen promoter
P00593119T0001|75 103|allergospecific IgE antibodies
P10779508A0452|75 99|glutathione S-transferase
P11325944A0511|75 99|glutathione S-transferase
P11463834A0606|74 97|carboxy-terminal region 2
P02454390T0000|78 100|alpha 1-fetoprotein gene
P03045117A0936|73 94|epidermal growth factor
P02901498A0354|74 94|wild-type erbB protein
P02686588A0592|77 96|alkaline phosphatase
P07917540A0000|76 94|interferon-alpha 2b
P07629150A0155|76 94|luteinizing hormone
P09264466A0947|74 89|protein-protein
P09085842A0181|73 88|protein/protein
P08005230A0222|76 89|c-fos promoter
P10873386A0000|74 87|20S proteasome
P07576307A0144|72 85|rat enkephalin
P08464056A0000|77 89|C2H2 type ZFPs
P10627532A0739|76 87|MAP) kinases
P11390684A1170|77 87|jadomycin B
P03001086A0587|76 86|trout hsp70
P01327758A0000|77 86|E1 protein
P10209031A0832|74 83|Fyn kinase
P10473623A0081|77 86|gene Mix.2
P01671675A0905|76 83|CAD gene
P10899128A0661|75 83|MADS-box
P11145590A0217|77 84|TG) gene
P10890911A0470|73 80|TGFbeta
P10406464A0687|76 83|TRAP220
P01421145A1190|79 85|PCAT-1
P09786926A1372|75 81|SREBP1
P01545806T0000|76 82|REC107
P09268638A0332|76 82|D8S285
P02693208A0166|76 81|rad52
P09727046A0784|75 80|NF-E2
P09020138A0833|74 79|RAFTK
P08072547A1009|75 80|c-Fos
P09710599A0310|76 81|ets-2
P09037064A0183|78 83|HIV-1
P09111367A1098|79 84|tal-1
P01398071A0526|77 81|BRF1
P08887643A1167|75 79|TC21
P09341182A0605|78 82|PLZF
P07926748A0383|74 78|NOT4
P11179687A0280|79 83|PTPs
P08300601A0745|74 78|MyoD
P09321930A0567|75 79|CIP1
P10498616A0157|75 79|IL-3
P01993181T0000|78 82|nahG
P08812490A1509|77 81|hKID
P03062370A0384|75 79|GCN4
P02880841A0313|73 76|TF1
P07565685A0420|73 76|Ets
P10529354A0375|75 78|19S
P09925777A1195|75 78|Rev
P07483276A0139|76 79|UL1
P09427844A0739|76 79|dGK
P07623844A0639|75 78|p53
P02631743A0275|75 78|H-R
P08647434A1124|78 81|TBP
P08733881A0343|76 79|TSH
P11327858A0087|76 79|p53
P09482902A0942|76 79|p16
P10446998A0955|78 81|SRF
P11035037A0183|75 78|TBP
P07505798A0000|76 78|HA
P07937147A0205|75 77|IR
P09751166A1460|75 77|TH
P08766781A0322|71 73|Hb
P02115111T0000|77 116|nif gene region of Anabaena sp. strain PCC7120
P09990057T0000|76 114|Ig heavy chain intronic enhancer core region
P09799362A1463|75 112|mitochondrial transcription factor Mtf1p
P01471602A0362|77 112|3-hydroxy-3-methylglutaryl coenzyme A
P08294429A0153|73 105|chloramphenicol acetyltransferase
P09605137A0677|77 108|CD28RE-driven reporter constructs
P08093450A0688|76 108|chloramphenicol acetyltransferase
P11123316T0000|76 100|pleckstrin homology domain
P07739382A0457|76 100|actin-associated proteins
P08265602T0000|79 98|phage M13 coat protein
P07702752A0545|75 94|cAMP-stimulated gene
P08124912A0456|75 94|beta 2-microglobulin
P08091665T0000|74 91|type II TNF receptor
P03171221A0531|75 93|elastin transcripts
P02010912A0366|73 89|MalT binding sites
P09575143A1189|75 92|SRC-family kinases
P03428274A0000|75 90|adenovirus type 2
P01398074A0697|75 89|RNase MRP enzyme
P08386318A1102|76 90|protein kinase C
P10987280A0604|76 90|Zn-binding site
P10477545T0000|76 89|M-tropic HIV-1
P07768824A0167|74 87|RNA polymerase
P10767560A0105|77 89|mouse Pkr gene
P09354757A1444|73 85|RNase H domain
P08637711A1121|77 90|IRF-1 promoter
P02164604A1574|77 89|BPV-1 mutants
P02555177A0488|78 89|COX1 introns
P09311835A0147|77 88|SV40 mutants
P10593939A0747|78 89|SR33 protein
P08702807A0964|78 88|MKK1 mutant
P09475378A1449|80 91|RUSH-1alpha
P11171118A0836|75 86|DNA-protein
P09050849A1459|76 86|Sec7 domain
P09515921A1662|76 85|pca operon
P08595878A0201|76 85|Sevenless
P08582633T0000|78 86|HMR locus
P09806826A0244|74 82|Vwf locus
P10630630A0614|77 84|CFI mRNA
P09136080A1469|78 85|Sp1 site
P11368363A1103|76 83|rat HBP1
P10359792A0610|77 84|Groucho
P07685823A1234|76 82|DNase I
P08128629A1164|75 81|p60CRS
P10403839A1459|77 83|mBMAL1
P10894816A0836|79 85|SRE)-1
P08035517A0753|77 82|IEP72
P08683106A0374|78 83|STAT5
P01845899A0000|77 82|Rep40
P11027280A0536|74 79|Smad3
P09590294A0453|76 81|Notch
P08816459A0090|77 82|N-CoR
P01924315A0158|76 80|SOD1
P09285789A0712|75 79|rac1
P09003462A0792|74 78|nrdB
P02324102A1157|79 83|48K5
P09121430A0132|79 83|Grb2
P10653693A0903|77 81|RBCC
P03537721A0491|78 82|GAL4
P08994825A0000|77 81|Cdc2
P09024793A1325|77 81|MyoD
P11133986A0350|81 85|PU.1
P09632709A0464|75 79|BX42
P11095248A0423|77 81|gp31
P07789342A1352|76 79|TSH
P11287623A0286|81 84|ERK
P09058378A1134|81 84|p53
P11238447A0524|77 80|Rev
P09388271A1243|75 78|PKC
P09067577A0721|78 81|SOS
P07967360A1048|77 80|IgA
P09744095A1016|79 82|hy2
P08072547T0000|80 83|JNK
P08246987A0260|76 79|SH2
P08816460A1769|77 80|Ras
P09171239A2146|78 81|RXR
P10485470A0242|72 75|p21
P09382886A1061|76 79|p53
P08970984A0765|77 80|Rel
P10788476A0891|78 80|ER
P08395681A0388|76 78|E7
P11359827T0000|80 81|J
P10843810A0802|75 104|human tyrosine phosphatase 1 gene
P08808707A0631|78 107|stress-activated protein kinase
P08922385A0622|77 103|beta-galactosidase tetramer
P08569680A0636|77 100|GATA (DNA-binding) domain
P11053370A0708|77 101|glutathione S-transferase
P08618433A0000|76 98|tyrosine kinase receptor
P02154467A0709|77 98|human furin gene product
P11168588T0000|77 98|c-Jun N-terminal kinase
P07514295A0000|80 101|T-cell antigen receptor
P11559564A0459|78 98|human splicing factor 2
P01339373T0000|77 94|SNF1 protein kinase
P08565548A0196|77 93|bovine collagen II
P09218520A0075|78 93|cytosolic domain
P10897973T0001|78 93|antithrombin III
P09197408A0126|76 90|GAL4-like Zn(II
P07854324A0281|77 91|vertebrate wee1
P09132061A0828|73 87|isoperoxidases
P11062068T0000|80 92|p38 MAP kinase
P08993393A0498|77 89|hPACAP-R gene
P10487760A0336|76 88|Xenopus MEF2D
P09584194A1305|76 88|human homolog
P09794795A0183|78 90|Janus kinases
P02474204A0105|78 90|chromogranin
P09333026A0397|76 88|non-receptor
P07980440A0138|78 87|PEPCK gene
P11545594A1556|75 84|Myb domain
P09763607A0521|76 85|p38 kinase
P09718372T0000|80 89|MAP kinase
P09336455A0000|75 84|RNR3 genes
P10024882A0541|77 85|RNA pol II
P08297376A0236|80 89|C/EBP beta
P01701088A1335|77 85|CCAAT box
P11238375A0617|75 83|p38 gamma
P11160860A0662|78 87|NF-kappaB
P10861080A0433|81 90|TNF-alpha
P02154474A1504|77 85|P-450scc
P10606272A1241|78 85|SF1 gene
P11403719A1257|76 83|insulin
P10855690A0870|77 84|NF-IL-6
P10446149A0809|78 85|c-Raf-1
P11238947A0636|74 80|A2RE-2
P10777586A1022|81 87|ZBP-89
P07651141A0265|77 83|p-gvpE
P01443047A0773|79 85|Id-SCL
P09144770A0906|77 83|FKBP12
P08234276A0556|78 84|NF-IL6
P08973630A0923|79 84|Cdc42
P09867253A0229|78 83|c-Jun
P10455183A0530|75 80|Oct-1
P11375392T0000|79 84|Oct-1
P01627830A0000|76 80|CKI1
P09030781A0734|79 83|cdk2
P07547500A0066|78 82|GAL4
P08401614A0187|74 78|PAL3
P09162092A0675|79 83|MKK3
P10874044A0647|78 82|JNK1
P07628451A0114|76 80|p300
P10318806A0476|75 79|PDGF
P08496185A0484|78 82|adk1
P09840932A0365|76 80|Cdk2
P07498791A0680|74 78|PBS2
P09813093A0624|76 80|GIN4
P09188699A1388|77 81|SP-A
P01320640A0336|80 83|VIP
P09651375T0000|79 82|PDZ
P10202006A0546|76 79|SPA
P09343426A0456|78 81|Zta
P08621453A0815|81 84|FGF
P09029159A0000|82 85|PKR
P02637597A0362|77 80|IgA
P08563483A0094|79 82|TSH
P03023682A0271|81 84|CAT
P09030581A0990|77 80|ERK
P10545192T0000|82 85|s6k
P10563789A1951|78 80|CG
P01645902A1462|77 79|gH
P10619353T0000|79 130|chicken ovalbumin upstream promoter transcription factor
P10409699A0292|79 122|yeast oligosaccharide-processing mannosidases
P01652755A1492|79 118|retinoblastoma susceptibility gene product
P02068085A1273|76 106|Mlu I upstream activation sequence
P02153243A0965|76 104|fibroblast growth factor family
P08910292T0000|79 108|stress-activated protein kinase
P07791763T0000|79 107|phosphatidylinositol 3-kinase
P08710371A0000|77 103|tumor-suppressor protein p53
P10438924A1009|82 106|glycogen synthase kinase-3
P09182707A0254|80 103|cytosolic tyrosine kinase
P02777797A0720|77 98|PtdIns transfer protein
P09121774T0000|78 98|serum response element
P09886843A0339|75 96|T3-responsive elements
P10330396A0387|78 96|nuclear pore complex
P07926749A0471|78 95|ROR alpha 2 isoforms
P11697760A0000|79 97|parathyroid hormone
P08940132A1120|78 96|ICE/Ced-3 proteases
P11274368A0469|76 94|histone deacetylase
P01842498A0000|76 94|phytohemagglutinin
P11481625A0202|80 97|interferon alfa-2b
P07499848A0409|78 93|germ-line gamma 1
P10101159A0742|78 91|cbp1 ts alleles
P02674327A0493|75 89|polyhedrin gene
P02557217A0398|80 94|corticotrophin
P09882321A0948|80 93|EBNA-3 protein
P10777499A0883|78 91|phytochromes A
P02761540A0873|78 90|full enhancer
P08002564A0249|78 90|alpha subunit
P10570996A1213|76 88|scavenger RTK
P09288916T0000|84 95|human meprin
P11522658A0086|79 89|ErbB kinase
P09553040A0651|78 88|PI-3 kinase
P08551572A0155|81 90|pp38 mRNAs
P07518578A0000|79 88|pp60c-src
P00857024A0888|76 85|properdin
P07999066A0238|74 82|IL-2 gene
P08063766A0595|75 83|alpha PKC
P08471629A0816|82 90|beta-PKC
P08621384A0935|80 88|TGFalpha
P08663219A0246|78 85|CAAT box
P08668158A0765|77 84|tRNAPro
P09705258A0837|75 81|IE gene
P09011744A0790|78 84|Grin2a
P10453006A0478|76 82|PSMB12
P01657594A0472|79 84|cgs2+
P08131746A0140|80 85|c-raf
P08634697A1155|78 83|Brca1
P10339566A0602|79 84|Nud1p
P10763823A0824|79 84|mcl-1
P08840506A0544|75 80|G2850
P02204029A0184|77 82|N-ras
P08552086A0150|77 82|c-fos
P10871412A0369|79 84|Rz007
P02179815A0582|79 83|p68c
P08749393A0783|77 81|p110
P08760889A0170|76 80|H2A1
P08394464A1080|76 80|p2/2
P08300527T0000|81 85|eryM
P09192998A0356|77 81|rrnB
P09466931T0000|80 84|ng-1
P02376023A0307|75 79|IgG4
P02041088A1053|78 82|DR60
P09545323T0000|78 82|MSH6
P08106313A1492|75 79|HrpS
P02585492A1005|79 83|parA
P09259320A0830|82 86|SSBP
P09271394A0558|81 85|MURA
P01646487A0874|77 80|IgG
P09860979A0521|78 81|JNK
P11462004A1500|77 80|Vp2
P10529198A0068|79 82|GRF
P08647086A0720|79 82|pRB
P11076860A0872|79 82|Kua
P10611353A0458|80 83|RNR
P11559821A1315|80 83|CBP
P08918464A0225|82 85|RON
P07860208A0000|79 82|TNF
P07518561A0496|78 81|TCR
P08388543A1263|81 84|Ras
P11384225A0634|77 80|GFP
P07479004A0421|78 80|P3
P09328476A0068|79 81|U2
P11306463A0383|77 79|D1
P01899409T0000a|83 120|recombinant tissue plasminogen activator
P08160054A0224|79 116|aspartate and alanine aminotransaminases
P11029467T0000|84 118|nuclear factor-kappa B-dependent gene
P01731979A1408|79 108|CaMV 35S domain B enhancer element
P07623821T0000|80 111|myocyte-specific enhancer factor 2
P08455611A0000|79 107|alpha globin regulatory element
P09312025A0373|80 108|phosphatidylinositol 3-kinase
P01588315A0356|79 104|polyhedrin primary sequence
P09927589T0000|81 106|Drosophila melanogaster DSX
P07707544T0000|82 108|immediate-early transcripts
P09328341A1449|77 100|TR alpha DNA binding mutant
P01827068T0000|81 103|T cell receptor alpha gene
P01656220T0000|79 101|receptor tyrosine kinase
P09015757T0000|81 102|avian bone sialoprotein
P07651424A0487|78 97|60S ribosomal subunit
P10861086A0259|78 97|C-terminal Src kinase
P01406677A0000|82 100|human myoglobin gene
P07473169A0133|82 101|superoxide dismutase
P01772341A0852|79 98|thromboxane receptor
P08083220A0988|75 93|c-fos protooncogene
P00521732T0000|81 98|steroid sulphatase
P02142240A0506|79 96|estrogen receptors
P09468515A0621|78 93|SF-1 binding site
P09027346A1957|78 93|anti-peptide mAb
P07862092A0302|78 93|mutation pol3-14
P08806817A0244|78 92|orphan receptor
P09168134A0858|77 89|U1 snRNA genes
P09135928A0912|78 91|angiotensin II
P11532856A1175|80 92|stress kinase
P09079817A0928|77 89|NO synthetase
P11241356T0000|82 94|collagen gene
P07730337T0000|80 91|neurogranin
P10733569A0364|78 88|stress gene
P07760844A0413|79 89|c-fos genes
P10835355A0225|77 87|rim15Delta
P11029704A0378|79 88|distB ABRE
P00089778A0000|84 94|fibrinogen
P09326317A0372|76 85|EXT2 genes
P10955998A1124|78 87|S120K MutY
P07525548A1380|80 88|rsVCAM-1
P02557350A0632|77 85|SRP54mam
P03652083A0720|79 87|collagen
P08300611T0000|80 88|relaxase
P07192369T0000|81 88|l-alpha
P08088777A0754|81 87|Col5a1
P09398332A0732|79 85|CTLA-4
P01717994T0000|78 83|cdc28
P10228009A0600|79 84|TRAF6
P09786932A1042|81 86|IRF-7
P02123467A0811|81 86|MyoD1
P03016301A0605|76 81|c-myc
P10393201A0654|79 84|XRCC1
P07878029A0721|76 81|CBF-B
P11359827T0000|82 87|SPE-I
P09435806T0001|79 84|CA125
P10529354A0375|79 84|PA700
P01516829A0460|78 82|SNF6
P10544037A0617|76 80|FZD9
P08223613A0519|78 82|TPS2
P09792702A0754|82 86|JNK1
P11589568A0744|78 82|Bub3
P11238916A0838|81 85|Pyk2
P11389085A0290|78 82|RelA
P08529098A0549|81 85|SMF1
P11112700T0000|82 86|MACF
P09199292A0536|80 84|cdk2
P07499252A0150|78 82|hGMR
P07493627A0882|80 84|EC-1
P10600171A1432|77 81|USF1
P10555285A1065|82 86|FUT6
P02543679A1291|75 79|DnaK
P11274184A0000|81 85|HO-1
P08798635A0870|79 83|ARF6
P07657668A0642|79 82|Btk
P07831310A0000|80 83|NIb
P10406462A1127|79 82|OR1
P11350812A0829|79 82|PKI
P09431828A1472|77 80|h-1
P11606538A1002|80 83|Tpp
P09755199A0559|80 83|PcG
P02196450A0870|80 83|QBP
P08986190A0927|80 83|LDH
P10504332A0701|82 85|RAP
P06281759A1086|77 80|sib
P06434587A0551|79 81|LH
P10196318T0000|80 82|E7
P10671520T0000|82 111|human T-cell leukemia virus type I
P11311153T0000|80 107|angiotensin converting enzyme
P09209406A1021|80 105|GTPase-activating proteins
P02790009A1052|81 104|ovomucoid serine protease
P08262054A0565|80 102|Epstein-Barr virus (EBV)
P09300697A0000|81 99|MHC class I molecules
P09006936T0000|80 99|glycoprotein IBalpha
P01448917A0775|81 97|CPMV RNA 1 sequence
P10741850A0452|81 97|GCSl subunit genes
P09498553T0000|82 99|P450 monooxygenase
P08293412T0000|81 94|5-HT3 receptor
P09388198A1396|79 91|p38 MAP kinase
P01878489A0959|80 92|NADPH oxidase
P11161816A0851|81 93|SH3GLB family
P08604338A0198|81 93|ets sequences
P11557127A0991|77 88|rat mrp2 gene
P08706731A1303|84 94|Ypr10 genes
P08628681A0821|79 89|pol domains
P07935471A0613|81 91|Xenopus HSF
P11498795A0716|81 90|RB protein
P09806857A0854|80 90|resolvases
P01535242A0557|80 89|c-fms mRNA
P04071063A0863|79 89|fibrinogen
P02153683A1579|81 91|uvomorulin
P08530107A1003|81 90|histidase
P03371806A0000|83 92|anti-HSAP
P09006910A0000|81 89|RXR) gene
P09767687T0000|82 89|18S rDNA
P08970984A0765|81 89|NFkappaB
P09165039A1372|78 85|LHR gene
P10455189A0104|80 88|integrin
P10600171A1066|79 86|COUP-TF
P08647434A1124|82 89|hTAF(II
P06279309A0000|82 88|v-erbA
P08794339A1162|80 85|IE2 86
P07581364A0500|74 80|Ag1-CA
P09469933A1060|78 84|Restin
P01656221A1319|81 86|FGFRs
P11274368A0818|79 84|c-Myc
P08441394A1297|80 85|c-fos
P07509449A0000|79 84|v-Crk
P02115122A0562|80 85|c-Fos
P08151787A0355|82 87|IE175
P08548291A1059|81 86|Elk-1
P02406570A0898|80 84|ABFI
P10485470A0242|76 80|WAF1
P10406954A0715|81 85|RegS
P08668124A0744|78 82|sun2
P10384129A0000|79 83|CD4+
P07766885A0405|80 84|CDPK
P07483276A0139|80 83|UL2
P11114718A0349|78 81|p21
P10026784A0929|82 85|POU
P09144165A0614|76 79|RIR
P00603783A0647|77 80|IgA
P09129147A0644|81 84|Fos
P10585480A0157|77 80|Ras
P10085605A0239|82 85|hCG
P09736715A0729|87 90|ILK
P07933107A0991|78 81|E70
P08877818A0184|81 84|Lys
P11200568A0830|78 81|IgM
P09795341A0806|81 84|TR2
P07799948A0777|79 82|Src
P00710372A0302|82 84|GH
P08405433A0000|79 81|P4
P02497340A0989|79 81|Jk
P07959734A0194|80 118|lentil-lectin-binding glycoprotein Gp135
P10026211A0136|79 108|CCAAT/enhancer-binding protein
P09234713A0754|79 107|recombination-activating gene
P09200811T0000|81 107|pGKL1-plasmid DNA polymerase
P09545353A1071|83 106|cAMP response element site
P01383695A0100|79 99|IgM kappa and IgM lambda
P10579331A1225|80 102|sterol response elements
P07896817A0204|83 103|phospholipase C-gamma
P09223479A1193|79 98|Bcl-2-like molecules
P08413209A0159|83 102|DNA-binding proteins
P01703632T0000|80 99|RNA-binding proteins
P09780228A0613|78 97|fatty-acid-synthase
P01884998A1135|80 97|C/EBP-binding site
P09382924A0131|85 102|beta-type subunits
P08806693A0584|79 95|ME26 viral protein
P08891341A0724|83 99|5' mdr1b sequences
P01985924A0554|80 95|pol II holoenzyme
P07567979A1266|78 93|testis receptor 2
P10428862A0834|86 100|endogenous DokR
P01413984A0737|81 95|LDL cholesterol
P07816630A1333|81 94|beta-tubulin 2
P10854004A0788|79 92|angiotensin II
P09271397A1596|81 92|LDL receptor
P09920539A0272|80 92|gonadotropin
P09263856A0563|79 90|prothrombin
